Processed 5mlq, DockQ: 0.133
Processed 6zdt, DockQ: 0.125
Processed 6zdu, DockQ: 0.15
Processed 6zdw, DockQ: 0.075
Processed 6zdx, DockQ: 0.225
Processed 6zeg, DockQ: 0.092
Processed 6zh1, DockQ: 0.184
Processed 6zi1, DockQ: 0.126
Processed 6zie, DockQ: 0.216
Processed 6zl1, DockQ: 0.107
Processed 6zpm, DockQ: 0.202
Processed 6zrw, DockQ: 0.14
Processed 6zsh, DockQ: 0.189
Processed 6zts, DockQ: 0.15
Processed 7a0h, DockQ: 0.159
Processed 7a0m, DockQ: 0.185
Processed 7a1i, DockQ: 0.101
Processed 7a67, DockQ: 0.198
Processed 7aal, DockQ: 0.122
Processed 7acw, DockQ: 0.123
Processed 7adk, DockQ: 0.144
Processed 7ads, DockQ: 0.167
Processed 7ae6, DockQ: 0.286
Processed 7aed, DockQ: 0.108
Processed 7aex, DockQ: 0.139
Processed 7ag9, DockQ: 0.177
Processed 7agw, DockQ: 0.114
Processed 7ai3, DockQ: 0.217
Processed 7ajl, DockQ: 0.181
Processed 7al1, DockQ: 0.165
Processed 7al7, DockQ: 0.107
Processed 7anq, DockQ: 0.176
Processed 7arr, DockQ: 0.252
Processed 7asv, DockQ: 0.088
Processed 7ath, DockQ: 0.116
Processed 7au2, DockQ: 0.169
Processed 7b0w, DockQ: 0.177
Processed 7b1l, DockQ: 0.22
Processed 7b2b, DockQ: 0.114
Processed 7b2i, DockQ: 0.14
Processed 7b5w, DockQ: 0.155
Processed 7b6b, DockQ: 0.151
Processed 7bbq, DockQ: 0.249
Processed 7bcb, DockQ: 0.129
Processed 7bgf, DockQ: 0.208
Processed 7bgm, DockQ: 0.218
Processed 7bgs, DockQ: 0.075
Processed 7bhf, DockQ: 0.154
Failed to retrieve DockQ score for 7bil
Skipping 7bil due to errors.
Processed 7bjg, DockQ: 0.159
Processed 7bji, DockQ: 0.125
Processed 7blf, DockQ: 0.23
Processed 7bqg, DockQ: 0.202
Processed 7br1, DockQ: 0.161
Processed 7bu5, DockQ: 0.047
Processed 7bwa, DockQ: 0.171
Processed 7bze, DockQ: 0.08
Processed 7c0q, DockQ: 0.194
Processed 7c23, DockQ: 0.092
Processed 7c4h, DockQ: 0.182
Processed 7c4o, DockQ: 0.226
Processed 7c5y, DockQ: 0.098
Processed 7c5z, DockQ: 0.196
Processed 7c64, DockQ: 0.09
Processed 7c67, DockQ: 0.136
Processed 7c6i, DockQ: 0.131
Processed 7c7e, DockQ: 0.07
Processed 7c7s, DockQ: 0.193
Processed 7c8f, DockQ: 0.07
Processed 7c96, DockQ: 0.206
Processed 7cbs, DockQ: 0.127
Processed 7ccb, DockQ: 0.136
Processed 7cf7, DockQ: 0.083
Processed 7cfa, DockQ: 0.175
Processed 7cff, DockQ: 0.145
Processed 7ci1, DockQ: 0.151
Processed 7ci2, DockQ: 0.161
Processed 7cik, DockQ: 0.175
Processed 7cjn, DockQ: 0.18
Processed 7cm9, DockQ: 0.085
Processed 7cma, DockQ: 0.101
Processed 7cn7, DockQ: 0.197
Processed 7cnb, DockQ: 0.043
Processed 7crb, DockQ: 0.074
Processed 7crn, DockQ: 0.135
Processed 7ct3, DockQ: 0.134
Processed 7cu9, DockQ: 0.208
Processed 7cui, DockQ: 0.127
Processed 7cv7, DockQ: 0.176
Processed 7cyl, DockQ: 0.224
Processed 7cym, DockQ: 0.148
Processed 7czg, DockQ: 0.132
Processed 7d2g, DockQ: 0.147
Processed 7d2t, DockQ: 0.159
Processed 7d2w, DockQ: 0.117
Processed 7d34, DockQ: 0.18
Processed 7d54, DockQ: 0.123
Processed 7d62, DockQ: 0.17
Processed 7d9m, DockQ: 0.119
Processed 7da9, DockQ: 0.163
Processed 7dbl, DockQ: 0.189
Processed 7dfe, DockQ: 0.123
Processed 7dhg, DockQ: 0.169
Processed 7dka, DockQ: 0.147
Processed 7dl3, DockQ: 0.171
Processed 7dm0, DockQ: 0.136
Processed 7dma, DockQ: 0.097
Processed 7dn8, DockQ: 0.117
Processed 7dnn, DockQ: 0.106
Processed 7dns, DockQ: 0.134
Processed 7dnu, DockQ: 0.151
Failed to retrieve DockQ score for 7dpe
Skipping 7dpe due to errors.
Processed 7dqg, DockQ: 0.142
Processed 7drg, DockQ: 0.134
Processed 7drj, DockQ: 0.14
Processed 7drt, DockQ: 0.183
Processed 7dtl, DockQ: 0.076
Processed 7dtr, DockQ: 0.215
Processed 7duf, DockQ: 0.139
Processed 7dus, DockQ: 0.152
Processed 7dut, DockQ: 0.265
Processed 7duv, DockQ: 0.126
Processed 7duw, DockQ: 0.074
Processed 7dvn, DockQ: 0.161
Processed 7dvr, DockQ: 0.189
Processed 7dw5, DockQ: 0.076
Processed 7dwm, DockQ: 0.177
Processed 7dxy, DockQ: 0.251
Processed 7dym, DockQ: 0.168
Processed 7e0w, DockQ: 0.181
Processed 7e1s, DockQ: 0.048
Processed 7e2h, DockQ: 0.191
Processed 7e2r, DockQ: 0.213
Processed 7e36, DockQ: 0.19
Processed 7e40, DockQ: 0.149
Processed 7e4j, DockQ: 0.089
Processed 7e4m, DockQ: 0.225
Processed 7e63, DockQ: 0.132
Processed 7e8j, DockQ: 0.061
Processed 7e8r, DockQ: 0.158
Processed 7ebs, DockQ: 0.164
Processed 7edb, DockQ: 0.193
Processed 7eev, DockQ: 0.156
Processed 7eft, DockQ: 0.168
Processed 7egt, DockQ: 0.148
Processed 7eih, DockQ: 0.201
Processed 7el1, DockQ: 0.096
Processed 7el6, DockQ: 0.19
Processed 7elc, DockQ: 0.241
Processed 7eme, DockQ: 0.127
Processed 7emy, DockQ: 0.177
Processed 7enh, DockQ: 0.151
Processed 7ep3, DockQ: 0.13
Processed 7ep5, DockQ: 0.119
Processed 7ep7, DockQ: 0.048
Processed 7epa, DockQ: 0.207
Processed 7epq, DockQ: 0.194
Processed 7eqb, DockQ: 0.208
Processed 7eqe, DockQ: 0.105
Processed 7eqx, DockQ: 0.211
Processed 7ess, DockQ: 0.107
Processed 7esw, DockQ: 0.152
Processed 7ev8, DockQ: 0.087
Processed 7f20, DockQ: 0.137
Processed 7f2f, DockQ: 0.144
Processed 7f40, DockQ: 0.075
Processed 7f4p, DockQ: 0.188
Processed 7f52, DockQ: 0.172
Processed 7f69, DockQ: 0.086
Processed 7f7c, DockQ: 0.173
Processed 7f7p, DockQ: 0.023
Processed 7f8f, DockQ: 0.146
Processed 7f9h, DockQ: 0.138
Processed 7f9j, DockQ: 0.135
Processed 7fcl, DockQ: 0.196
Processed 7fdn, DockQ: 0.109
Processed 7fdo, DockQ: 0.211
Processed 7feo, DockQ: 0.157
Processed 7fh1, DockQ: 0.188
Processed 7fiw, DockQ: 0.131
Processed 7jjv, DockQ: 0.265
Processed 7jl6, DockQ: 0.225
Processed 7jqd, DockQ: 0.162
Processed 7jqe, DockQ: 0.177
Processed 7jrd, DockQ: 0.1
Processed 7jrk, DockQ: 0.187
Processed 7jsk, DockQ: 0.206
Processed 7jtu, DockQ: 0.158
Processed 7jw2, DockQ: 0.185
Processed 7jw6, DockQ: 0.205
Processed 7jwf, DockQ: 0.185
Processed 7jx6, DockQ: 0.146
Processed 7jzk, DockQ: 0.095
Processed 7k2v, DockQ: 0.01
Processed 7k3h, DockQ: 0.187
Processed 7k3s, DockQ: 0.239
Processed 7k5n, DockQ: 0.177
Processed 7k9n, DockQ: 0.134
Processed 7kc4, DockQ: 0.147
Processed 7kfk, DockQ: 0.107
Processed 7kih, DockQ: 0.141
Processed 7kjh, DockQ: 0.131
Processed 7kl5, DockQ: 0.144
Processed 7kl7, DockQ: 0.2
Processed 7kpo, DockQ: 0.071
Processed 7kqu, DockQ: 0.129
Failed to retrieve DockQ score for 7ksp
Skipping 7ksp due to errors.
Processed 7kug, DockQ: 0.202
Processed 7kv7, DockQ: 0.013
Processed 7l2a, DockQ: 0.211
Processed 7l3l, DockQ: 0.227
Processed 7l49, DockQ: 0.083
Processed 7l6g, DockQ: 0.113
Processed 7lc1, DockQ: 0.226
Processed 7lga, DockQ: 0.225
Processed 7lgn, DockQ: 0.115
Processed 7lgu, DockQ: 0.105
Processed 7lh6, DockQ: 0.23
Processed 7lji, DockQ: 0.131
Processed 7lkq, DockQ: 0.152
Processed 7lq2, DockQ: 0.087
Processed 7lqx, DockQ: 0.159
Processed 7lre, DockQ: 0.206
Processed 7ls0, DockQ: 0.088
Processed 7lu4, DockQ: 0.171
Processed 7lv3, DockQ: 0.137
Processed 7m0q, DockQ: 0.154
Processed 7m1a, DockQ: 0.173
Processed 7m4m, DockQ: 0.181
Processed 7m5f, DockQ: 0.072
Processed 7m96, DockQ: 0.157
Processed 7mbw, DockQ: 0.215
Processed 7mc5, DockQ: 0.176
Processed 7mrj, DockQ: 0.136
Processed 7mrm, DockQ: 0.155
Processed 7msk, DockQ: 0.121
Processed 7msl, DockQ: 0.143
Processed 7mwa, DockQ: 0.115
Processed 7mzy, DockQ: 0.103
Processed 7n0e, DockQ: 0.03
Processed 7n0l, DockQ: 0.238
Processed 7n0z, DockQ: 0.104
Processed 7n1j, DockQ: 0.234
Processed 7n1n, DockQ: 0.145
Processed 7n34, DockQ: 0.234
Processed 7n3t, DockQ: 0.215
Processed 7n88, DockQ: 0.131
Processed 7nb0, DockQ: 0.162
Processed 7ncy, DockQ: 0.133
Processed 7nf7, DockQ: 0.121
Processed 7nj1, DockQ: 0.123
Processed 7nkz, DockQ: 0.111
Processed 7nlh, DockQ: 0.143
Processed 7nqk, DockQ: 0.12
Processed 7ntf, DockQ: 0.232
Processed 7nto, DockQ: 0.143
Processed 7nxg, DockQ: 0.281
Processed 7nz9, DockQ: 0.138
Processed 7nza, DockQ: 0.182
Processed 7o21, DockQ: 0.251
Processed 7o2w, DockQ: 0.093
Processed 7o43, DockQ: 0.179
Processed 7o4e, DockQ: 0.233
Processed 7o4f, DockQ: 0.101
Processed 7o5y, DockQ: 0.156
Processed 7o61, DockQ: 0.211
Processed 7o7a, DockQ: 0.118
Processed 7oc3, DockQ: 0.179
Processed 7oc5, DockQ: 0.168
Processed 7ocs, DockQ: 0.224
Processed 7ocz, DockQ: 0.231
Processed 7ofl, DockQ: 0.203
Processed 7oix, DockQ: 0.131
Processed 7oom, DockQ: 0.147
Processed 7os5, DockQ: 0.14
Processed 7os7, DockQ: 0.2
Processed 7ov9, DockQ: 0.166
Processed 7ovp, DockQ: 0.172
Processed 7oyk, DockQ: 0.243
Processed 7p14, DockQ: 0.151
Processed 7p1j, DockQ: 0.171
Processed 7p34, DockQ: 0.171
Processed 7p5c, DockQ: 0.077
Processed 7p7w, DockQ: 0.156
Processed 7p9k, DockQ: 0.156
Processed 7p9p, DockQ: 0.133
Processed 7ped, DockQ: 0.273
Processed 7pi6, DockQ: 0.103
Processed 7pjo, DockQ: 0.097
Processed 7pku, DockQ: 0.13
Processed 7po9, DockQ: 0.247
Processed 7poh, DockQ: 0.115
Processed 7pp2, DockQ: 0.123
Processed 7ppp, DockQ: 0.195
Processed 7pqg, DockQ: 0.082
Processed 7pty, DockQ: 0.145
Processed 7pvh, DockQ: 0.153
Processed 7pzg, DockQ: 0.157
Processed 7q1u, DockQ: 0.174
Processed 7q6j, DockQ: 0.178
Processed 7q97, DockQ: 0.107
Processed 7qb9, DockQ: 0.231
Processed 7qe5, DockQ: 0.171
Processed 7qih, DockQ: 0.196
Processed 7qla, DockQ: 0.138
Processed 7qoe, DockQ: 0.144
Processed 7qvb, DockQ: 0.152
Processed 7qyd, DockQ: 0.147
Processed 7r4m, DockQ: 0.151
Processed 7r5y, DockQ: 0.119
Processed 7r65, DockQ: 0.157
Processed 7r9g, DockQ: 0.17
Processed 7rmx, DockQ: 0.132
Processed 7rrm, DockQ: 0.207
Processed 7rt7, DockQ: 0.086
Processed 7rtm, DockQ: 0.15
Processed 7rtu, DockQ: 0.129
Processed 7ru6, DockQ: 0.247
Processed 7rwk, DockQ: 0.098
Processed 7rwm, DockQ: 0.194
Processed 7s02, DockQ: 0.129
Processed 7s03, DockQ: 0.233
Processed 7s0r, DockQ: 0.162
Processed 7s4a, DockQ: 0.111
Processed 7s69, DockQ: 0.184
Processed 7s9v, DockQ: 0.073
Processed 7sb2, DockQ: 0.172
Processed 7sde, DockQ: 0.19
Processed 7she, DockQ: 0.199
Processed 7shq, DockQ: 0.181
Processed 7slq, DockQ: 0.19
Processed 7sr6, DockQ: 0.123
Processed 7stl, DockQ: 0.12
Processed 7t7i, DockQ: 0.188
Processed 7t8i, DockQ: 0.077
Processed 7t8o, DockQ: 0.093
Processed 7ta3, DockQ: 0.17
Processed 7tae, DockQ: 0.113
Processed 7tb6, DockQ: 0.146
Processed 7tcx, DockQ: 0.125
Processed 7tj4, DockQ: 0.108
Processed 7tjl, DockQ: 0.188
Processed 7tkv, DockQ: 0.139
Processed 7trv, DockQ: 0.122
Processed 7tuk, DockQ: 0.115
Processed 7twa, DockQ: 0.152
Processed 7txn, DockQ: 0.221
Processed 7tze, DockQ: 0.104
Processed 7tzh, DockQ: 0.188
Failed to retrieve DockQ score for 7tzv
Skipping 7tzv due to errors.
Processed 7u2s, DockQ: 0.213
Processed 7u8t, DockQ: 0.169
Processed 7ubz, DockQ: 0.229
Processed 7uh4, DockQ: 0.107
Processed 7unl, DockQ: 0.24
Processed 7ut4, DockQ: 0.176
Processed 7v2s, DockQ: 0.154
Processed 7v2v, DockQ: 0.055
Processed 7v4o, DockQ: 0.185
Processed 7v6p, DockQ: 0.082
Processed 7v8f, DockQ: 0.267
Processed 7vb4, DockQ: 0.165
Processed 7vcr, DockQ: 0.109
Processed 7vfk, DockQ: 0.18
Processed 7vfo, DockQ: 0.17
Processed 7vg7, DockQ: 0.095
Processed 7vgg, DockQ: 0.165
Processed 7vjn, DockQ: 0.13
Processed 7vjo, DockQ: 0.203
Processed 7vkb, DockQ: 0.131
Processed 7vkx, DockQ: 0.159
Processed 7vo4, DockQ: 0.194
Processed 7voj, DockQ: 0.171
Processed 7vpu, DockQ: 0.217
Processed 7vrc, DockQ: 0.175
Processed 7vsi, DockQ: 0.231
Processed 7vu5, DockQ: 0.078
Processed 7vu7, DockQ: 0.103
Processed 7vw0, DockQ: 0.182
Processed 7vwt, DockQ: 0.09
Processed 7w0c, DockQ: 0.13
Processed 7wbt, DockQ: 0.201
Processed 7wkw, DockQ: 0.138
Processed 7wsj, DockQ: 0.167
Processed 7wwb, DockQ: 0.179
Processed 7wwf, DockQ: 0.137
Processed 7wwn, DockQ: 0.119
Processed 7y6b, DockQ: 0.067
Processed 7zal, DockQ: 0.13
Processed 7zcv, DockQ: 0.192
Processed 7zjc, DockQ: 0.246
Processed 8dgg, DockQ: 0.225
